rag_setting,phase,experiment_group,retrieval,description,model,strategy,count,sari_mean,sari_std,bertscore_mean,bertscore_std,bleu_mean,bleu_std,perplexity_mean,perplexity_std,lens_mean,lens_std
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,claude-haiku-4-5,constraint,189,44.7385436058676,3.93035491249496,0.897309203627248,0.0155010519605247,0.208554140876305,0.0706765754969429,28.6184858846917,6.49080135434753,70.3262242527202,7.35798298561955
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,claude-haiku-4-5,structured,189,44.0544255095299,3.8650617790451,0.889766580213315,0.0159413460324229,0.171832257541736,0.0675991267934429,26.2769331755462,5.89307406303903,71.5685233604779,7.62147347269571
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,claude-haiku-4-5,zeroshot,189,43.6069925237222,3.94835273319337,0.890489881946927,0.0174976719300324,0.168456646261333,0.0749088593149752,28.5188642027517,7.09755003976292,72.1689870283096,7.28427225936043
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,claude-haiku-4-5,constraint,189,44.660850879907,3.90777355965342,0.898467539164124,0.0157266255362147,0.20935867344373,0.0714492769712932,28.7159969390385,6.4423751255032,70.2133257817973,7.29129056763244
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,claude-haiku-4-5,structured,189,44.0577363882083,4.05505316912225,0.889502272719429,0.0164453906079154,0.173051565332746,0.07307572061325,26.0946731315088,5.28284337534973,71.96333581885,6.92263068748742
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,claude-haiku-4-5,zeroshot,189,43.8234101221538,3.99405776067043,0.890710360789425,0.0183272454409847,0.169812187559839,0.0735944479236305,28.0002010486744,6.54623353633891,72.6139133407287,6.89852125112553
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,claude-haiku-4-5,constraint,189,44.8256779356101,3.63932139295748,0.889614386217935,0.0148046264476231,0.18312719169222,0.0656034861577036,27.5435381995307,6.00304905822972,58.6135395800799,10.8564852839526
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,claude-haiku-4-5,structured,189,41.7391671397072,4.04168072895353,0.878000716683726,0.0127264791547586,0.123230503229363,0.0586710943815122,25.7680157908687,5.54581617575787,61.5577123535152,11.3219053901446
OpenAI-RAG-k3,Open AI RAG v2,,,step 2 - RAG top k=3,claude-haiku-4-5,zeroshot,189,42.0932324049857,4.01844944803483,0.880799010001793,0.0144086372736418,0.12530023331521,0.0597577035095179,27.7929968556399,6.12503921808253,61.4396646802233,11.1676936132962
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,claude-haiku-4-5,constraint,189,44.8375877313803,3.8876140136506,0.897376275567151,0.0166038631869136,0.209418681219968,0.0748990945101752,28.2811814464589,6.32543372814622,70.7156242531665,6.52560722498171
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,claude-haiku-4-5,structured,189,43.9030526996201,3.81817427679134,0.889742480383979,0.016190094142519,0.170482065934056,0.0684909279349334,25.9033854751991,5.32209457583375,71.5992155812051,7.34219212825218
OpenAI-RAG-v3-clean,Open AI RAG v3,,,step 2 - RAG top k=3 with upgrated prompt,claude-haiku-4-5,zeroshot,189,43.6081835303735,4.00392069720436,0.889681598496815,0.0162318341614703,0.169047192677963,0.0678209291959776,28.6180131801222,6.09968588257978,72.2299903571752,6.85220921040701
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,gemini-2.0-flash,constraint,189,42.4684455591018,3.5761268355764,0.887528781222288,0.0126156702062086,0.127264955983397,0.0424614563541244,26.2503357690478,6.44099107232747,64.1935323264889,10.4366613957916
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,gemini-2.0-flash,structured,189,43.2420376942834,4.00351843771416,0.889477368700441,0.0136550235965556,0.138499600818004,0.0472297608752913,23.3813912376525,5.45625717934285,71.4166399239865,7.61889325988432
BGE-RAG-full,BGE RAG v3,,,BGE-RAG-full,gemini-2.0-flash,zeroshot,189,42.0057310489173,3.52175258448568,0.885753268918032,0.0132107475274631,0.100529122739294,0.0357406769939379,20.6754420547889,5.94695767939585,67.2278583053297,10.2607966123917
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,gemini-2.0-flash,constraint,189,42.4214124607987,3.64066430949394,0.887362135465814,0.0129938206633857,0.12636221747401,0.0438396015900975,26.0715594417834,6.52812913548551,64.2808741388477,10.400930144652
E5-RAG-full,E5 RAG v3,,,E5-RAG-full,gemini-2.0-flash,structured,189,43.4835609651958,3.81766158276282,0.890632885473746,0.014072919752432,0.143040176183717,0.0456546014985275,23.3445260638282,5.60445458953694,71.4396488938718,6.65739127082286
